bus_name,address,city,state,tax_year,revenue,explanation
DUNHAM RAY POST 2645 VFW MICHIGAN,24222 W NINE MILE ROAD,SOUTHFIELD,MI,2014,54397,MEMBERS VOTED ON THE SALE OF THE BUILDING
EASTMINSTER COMMUNITY CONCERNS INC,693 N HAGADORN RD,EAST LANSING,MI,2012,779474,PAYMENT OF NON-APPROVED BOARD EXPENSE. THE ORGANIZATION IS IN THE PROCESS OF DETERMINING THE AMOUNT. THE EXACT AMOUNT IS NOT KNOWN AT THIS TIME. THEY ARE WORKING WITH OUTSIDE AUTHORITIES TO DETERMINE WHAT ACTION THEY SHOULD TAKE.
EASTMINSTER COMMUNITY CONCERNS INC,693 NORTH HAGADORN ROAD,EAST LANSING,MI,2013,848871,"MATERIAL CREDIT CARD TRANSACTIONS BY FORMER EXECUTIVE DIRECTOR. AN INVESTIGATION WAS CONDUCTED BY THE EAST LANSING POLICE DEPARTMENT AND A JUDGMENT WAS REACHED AGAINST THE FORMER EXECUTIVE DIRECTOR. THE AMOUNT OWED IS REFLECTED IN THE AMOUNT LISTED IN PART X, LINE 5. THERE IS CURRENTLY A PERIOD OF TIME ALLOWED FOR AN APPEAL OF THE CASE."
ESPERANZA DETROIT,2000 WABASH ST,DETROIT,MI,2013,1525294,"IT WAS DISCOVERED THAT $93,966 WAS DIVERTED BY THE FORMER CHIEF OPERATING OFFICER THROUGH UNAUTHORIZED EXPENDITURES ($77,298) AND UNAPPROVED CASH WITHDRAWALS ($16,668)."
FINNISH CENTER ASSOCIATION,35200 W EIGHT MILE RD,FARMINGTON HILLS,MI,2011,72381,YES. THERE IS AN ONGOING INVESTIGATION TO DETERMINE THE EXTENT OF THE EMBEZZLEMENT.
FINNISH CENTER ASSOCIATION,35200 W EIGHT MILE RD,FARMINGTON HILLS,MI,2012,155672,"THE ORGANIZATION DETERMINED THAT AN AMOUNT OF 13,582 WAS EMBEZZLED BY A FOMER OFFICER OF THE ORGANIZATION IN 2012 AND THAT APPROXIMATELY 53,000 HAD BEEN EMBEZZLED OVER THE COURSE OF SEVERAL YEARS. THE OFFICER HAS BEEN REMOVED FROM THE ORGANIZATION AND THE INVESTIGATION HAS BEEN RESOLVED."
FISH TALES,2177 E ERICKSON ROAD,PINCONNING,MI,2014,374873,"DURING THE YEAR, AN INVESTIGATION WAS CONDUCTED BY THE MICHIGAN STATE POLICE, AND THE FORMER BOOKKEEPER WAS CHARGED WITH THEFT OF SUBSTANTIAL FUNDS FROM THE ORGANIZATION'S OPERATING BUDGET. THIS FORMER EMPLOYEE HAS SINCE BEEN ARRESTED FOR EMBEZZLING APPROXIMATELY $50,000. THE FORMER BOOKKEEPER HAD ALSO FAILED TO PAY SEVERAL YEARS' PAYROLL TAX LIABILITIES. SINCE THE DISCOVERY, THE ORGANIZATION HAS MADE CHANGES TO THE FINANCIAL OVERSIGHT PROCESS AND HAS HIRED AN OUTSIDE COMPANY TO MAINTAIN THE RECORD KEEPING FOR THE ORGANIZATION, FILE TAX AND GOVERNMENT FORMS, AND MAKE OPERATIONAL PAYMENTS. THE ORGANIZATION HAS ALSO SUBMITTED FILINGS AND PAYMENTS FOR THE SEVERAL YEARS OF MISSED PAYROLL TAX LIABLITIES."
HATCH DETROIT,645 GRISWOLD ST ROOM/SUITE 2600,DETROIT,MI,2014,407598,"YES, IN JULY 2014 THE ORGANIZATION BECAME AWARE THAT A FORMER DIRECTOR HAD BEEN MISAPPROPRIATING CASH. THE DIRECTOR WAS IMMEDIATELY TERMINATED AND THE MISAPPROPRIATED FUNDS WERE REIMBURSED TO THE ORGANIZATION. THE ORGANIZATION HAS ENHANCED THE CASH MANAGEMENT CONTROLS TO IMPROVE SEGREGATION OF DUTIES AND MONITORING OF CASH. THE ORGANIZATION ALSO CREATED AN AUDIT COMMITTEE AND CORPORATE GOVERNANCE COMMITTEE IN 2014 AND ENHANCED THE DIRECTOR CODE OF CONDUCT AND NON FOR PROFIT BY-LAWS."
HISPANIC AMERICAN COUNCIL INC,930 LAKE STREET,KALAMAZOO,MI,2010,189807,FORMER EXEC DIRECTOR ADMITTED DIVERTING ORGANIZATION TO PERSONAL USE AND HAS AGREED TO REIMBURSE THE ORGANIZATION
IBEW LOCAL 876 NECA SAFETY CLOTHING AND EDUCATION TRUST FUND,200 GREENFIELD ST,EDMORE,MI,2014,521717,"THERE HAS BEEN ALLEGED EMPLOYEE EMBEZZLEMENT IN THE 2014 TAX YEAR FOR APPROXIMATELY 12,000. THIS AMOUNT HAS BEEN RECORDED AS A RECEIVABLE BECAUSE IT IS EXPECTED TO BE REFUNDED THROUGH EITHER EMPLOYEE ASSETS OR THE FIDELITY BOND. PROCEDURES ARE BEING PUT IN PLACE TO REDUCE THE RISK OF THIS OCCURRING AGAIN."
IBEW LOCAL 876 NECA SAFETY CLOTHING AND EDUCATION TRUST FUND,200 GREENFIELD ST,EDMORE,MI,2015,425599,"THERE HAS BEEN ALLEGED EMPLOYEE EMBEZZLEMENT IN THE 2015 TAX YEAR FOR APPROXIMATELY 78,000. THIS AMOUNT HAS BEEN RECORDED AS A RECEIVABLE AND WILL BE REFUNDED THROUGH THE FIDELITY BOND. PROCEDURES ARE IN PLACE TO REDUCE THE RISK OF THIS OCCURRING AGAIN."
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 876,200 GREENFIELD ST,EDMORE,MI,2014,1897203,"THERE HAS BEEN ALLEGED EMPLOYEE EMBEZZLEMENT IN THE 2014 TAX YEAR FOR APPROXIMATELY 90,000. THIS AMOUNT HAS BEEN RECORDED AS A RECEIVABLE BECAUSE IT IS EXPECTED TO BE REFUNDED THROUGH EITHER EMPLOYEE ASSETS OR THE FIDELITY BOND. PROCEDURES ARE BEING PUT IN PLACE TO REDUCE THE RISK OF THIS OCCURING AGAIN."
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 876,200 GREENFIELD ST,EDMORE,MI,2014,1918651,"THERE HAS BEEN ALLEGED EMPLOYEE EMBEZZLEMENT IN THE 2014 TAX YEAR FOR APPROXIMATELY 90,000. THIS AMOUNT HAS BEEN RECORDED AS A RECEIVABLE BECAUSE IT IS EXPECTED TO BE REFUNDED THROUGH EITHER EMPLOYEE ASSETS OR THE FIDELITY BOND. PROCEDURES ARE BEING PUT IN PLACE TO REDUCE THE RISK OF THIS OCCURING AGAIN."
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 876,200 GREENFIELD ST,EDMORE,MI,2015,1789776,"THERE HAS BEEN ALLEGED EMPLOYEE EMBEZZLEMENT IN THE 2015 TAX YEAR FOR APPROXIMATELY 80,000. THIS AMOUNT HAS BEEN ADDED TO THE RECEIVABLE BECAUSE IT WILL BE REFUNDED THROUGH THE FIDELITY BOND. PROCEDURES ARE IN PLACE TO REDUCE THE RISK OF THIS OCCURING AGAIN."
KANDU INC IN RECEIVERSHIP AS OF 12/28/15,421 W IONIA STREET,LANSING,MI,2015,4556694,"KANDU ANNOUNCED IT WAS CLOSING ON AUGUST 2015. ALL ASSETS, AND RESPONSIBILITY FOR THE ORGANIZATIONS WERE COURT ORDERED TO BE UNDER A COURT RECEIVER ON DECEMBER 28, 2015. AT THIS POINT ALL BOARD MEMBERS RESIGNED AND THE RECEIVER BEGAN DISSOULTION OF THE COMPANY AND ITS ASSETS UNDER THE COURT."
KENT COUNTY YOUTH AGRICULTURAL ASSN,225 S HUDSON,LOWELL,MI,2013,912080,PETTY CASH FUND WAS STOLEN
LANSING TEEN CHALLENGE,510 W WILLOW STREET,LANSING,MI,2014,599135,"IN 2014 THE BOOKKEEPER WAS EMBEZZELING FUNDS FROM LANSING TEEN CHALLENGE. THE POLICE INVESTIGATED AND A REPORT WAS MADE. THIS PERSON IS NO LONGER EMPLOYED BY LANSING TEEN CHALLENGE. IN 2015 OUR EMPLOYEE THEFT INSURANCE REIMBURSED LANSING TEEN CHALLENGE $96,501 RELATED TO THIS INCIDENT."
LIGHTHOUSE EMERGENCY SERVICES,PO BOX 430508,PONTIAC,MI,2011,2487382,"DURING 2012 THE ORGANIZATION DETERMINED THAT INTERNAL FRAUD HAD OCCURRED OVER A PERIOD OF APPROXIMATELY SIX YEARS RELATED TO REIMBURSEMENT CLAIMS FILED UNDER CERTAIN FEDERAL AND STATE SUPPORTIVE HOUSING PROGRAM GRANTS. AN INVESTIGATION ENSUED AND IT WAS DETERMINED THAT APPROXIMATELY $446,000 HAD BEEN EMBEZZLED BY CERTAIN EMPLOYEES OF THE ORGANIZATION. FEDERAL CHARGES HAVE BEEN FILED AGAINST THE INDIVIDUALS INVOLVED. IN ADDITION, THE ORGANIZATION HAS FILED AN INSURANCE CLAIM, THE PROPRIETY OF WHICH IS CURRENTLY BEING EVALUATED BY ITS INSURANCE CARRIER, AND HAS ALSO CORRESPONDED WITH ITS FEDERAL AND STATE OVERSIGHT AGENCIES REGARDING ANY POTENTIAL LIABILITY TO THE ORGANIZATION."
MICHIGAN ABILITY PARTNERS,3810 PACKARD RD NO 200,ANN ARBOR,MI,2013,1892173,"THE ORGANIZATION RECOGNIZED A GAIN ON INSURANCE RECOVERY AND A RECEIVABLE OF $109,959 AT SEPTEMBER 30, 2014 TO ACCOUNT FOR INSURANCE CLAIMS FILED AND APPROVED SUBSEQUENT TO YEAR END. THESE CLAIMS WERE FILED FOR A FULL RECOVERY OF FUNDS (LESS A $1,000 DEDUCTIBLE) OF THE ORGANIZATION'S OBLIGATION TO REPLENISH ACCOUNTS OF PARTICIPANTS IN THE REPRESENTATIVE PAYEE PROGRAM AS A RESULT OF EMPLOYEE THEFT. FUNDS HAD BEEN STOLEN FROM SEVERAL PAYEE PARTICIPANTS OVER A FIVE-YEAR PERIOD BY AN EMPLOYEE OF THE ORGANIZATION. THE EMPLOYEE WAS IMMEDIATELY TERMINATED UPON DISCOVERY OF THE THEFT AND CRIMINAL ACTION IS BEING PURSUED AGAINST THIS INDIVIDUAL. THE ORGANIZATION CONTINUES TO WORK IN FULL COOPERATION WITH THE INSURANCE COMPANY, BANKS AND ATTORNEY TO RECOVER THE FUNDS, CREDIT PARTICIPANT ACCOUNTS AND ASSIST IN THE LAWFUL ACTION. A NON-OPERATING LOSS AND A LIABILITY OF $110,959 WERE RECORDED TO ACCOUNT FOR THE ORGANIZATION'S OBLIGATION TO REPLENISH THESE ACCOUNTS."
MICHIGAN HISPANIC CHAMBER OF COMMERCE,31455 SOUTHFIELD ROAD NO 103,BEVERLY HILLS,MI,2011,473394,"A KEY EMPLOYEE WAS FIRED IN JULY OF 2011. IT WAS THEN DISCOVERED THAT THE EMPLOYEE ""MISSAPPROPRIATED"" FUNDS OF THE ORGANIZATION. AN INSURANCE SETTLEMENT WAS RECEIVED FOR A PARTIAL AMOUNT OF THE LOSSES."
MICHIGAN REGIONAL COUNCIL OF CARPENTERS,400 RENAISSANCE CENTER ROOM/SUITE 1010,DETROIT,MI,2012,14888040,"A SIGNIFICANT DIVERSION OF ASSETS BY AN EMPLOYEE OF THE ORGANIZATION WAS DISCOVERED. THE EMPLOYEE WAS PROMPTLY TERMINATED, AND A CLAIM WAS SUBMITTED ON THE ORGANIZATION'S FIDUCIARY LIABILITY INSURANCE POLICY. LEGAL ACTION IS CURRENTLY PENDING AGAINST THE FORMER EMPLOYEE TO OBTAIN RESTITUTION. THE ORGANIZATION EXPECTS TO MAKE FULL RECOVERY OF DIVERTED ASSETS."
MICHIGAN WORKERS' COMPENSATION PLACEMENT FACILITY,PO BOX 3337,LIVONIA,MI,2012,3077813,"IN OCTOBER 2012, THE FACILITY DISCOVERED THAT ITS FORMER PRESIDENT AND CHIEF EXECUTIVE OFFICER HAD (I) UTILIZED THE FACILITY'S CREDIT CARD FOR PERSONAL PURPOSES AND FAILED TO REIMBURSE THE FACILITY FOR THOSE PERSONAL EXPENSES, (II) TOOK TRAVEL ADVANCES FOR PERSONAL PURPOSES AND DID NOT REIMBURSE THE FACILITY AND (III) SUBMITTED INFORMATION TO PAYROLL WHICH FRAUDULENTLY OVERSTATED THE AMOUNT OF HIS SALARY AND BONUS. AN INDEPENDENT FORENSIC AUDIT WAS PERFORMED BY AN INDEPENDENT PUBLIC ACCOUNTING FIRM THAT ESTIMATED THE LOSS AT $2.6 MILLION, INCURRED OVER THE TIME PERIOD OF APPROXIMATELY 1998 TO 2012. CRIMINAL CHARGES ARE PENDING AGAINST THE FORMER CEO AND THE FORMER BOOKKEEPER. THE FACILITY HAVE INSTITUTED A SERIES OF INTERNAL FINANCIAL AND OPERATIONAL CONTROLS FOR THE AVOIDANCE AND DETECTION OF SUCH ACTS IN THE FUTURE."
MIDWEST ASSOCIATION OF HOUSING COOPERATIVES INC,37140 GODDARD,ROMULUS,MI,2016,240062,"AT DECEMBER 31, 2016, THERE IS $4,491 DUE FROM A FORMER EMPLOYEE FOR EXPENDITURES THAT HAD NOT BEEN AUTHORIZED BY THE ORGANIZATION."
MUNSON HEALTHCARE REGIONAL FOUNDATION,PO BOX 1188,TRAVERSE CITY,MI,2010,4642945,"IN APRIL 2011, THE MUNSON HEALTHCARE REGIONAL FOUNDATION (ORGANIZATION) BECAME AWARE OF A POSSIBLE DIVERSION OF CASH BY AN EMPLOYED ACCOUNTANT RESPONSIBLE FOR PREPARING THE ORGANIZATION'S FINANCIAL STATEMENTS. AN INTERNAL INVESTIGATION WAS IMMEDIATELY LAUNCHED, AND AS OF JULY 19, 2011, THE DIVERSION WAS CONFIRMED AND THE AMOUNT QUANTIFIED AT 1,105,000.00. THE ORGANIZATION TOOK CORRECTIVE ACTIONS TO ADDRESS THE MATTER INCLUDING: 1)TERMINATING THE EMPLOYEE'S EMPLOYMENT 2)REPORTING THE EMPLOYEE'S THEFT TO LAW ENFORCEMENT AND COOPERATING IN THE SUBSEQUENT CRIMINAL PROSECUTION (THE EMPLOYEE WAS CONVICTED OF TWO CRIMES AND SENTENCED TO 46 MONTHS IN PRISON) 3)REPORTING THE LOSS TO THE ORGANIZATION'S INSURANCE COMPANY, WHICH RESULTED IN RECOVERY OF THE ENTIRE AMOUNT OF THE THEFT LESS THE 25,000 DEDUCTIBLE 4)RETAINING AN INDEPENDENT FRAUD INVESTIGATOR TO DETERMINE THE METHOD OF THE THEFT. 5)REVISING INTERNAL CONTROLS AND SEGREGATING ACCOUNTING DUTIES TO ENSURE THIS TYPE OF THEFT DOES NOT OCCUR AGAIN."
NORTHERN SHORES LOAN FUND INC,1131 W CONWAY ROAD SUITE A,HARBOR SPRINGS,MI,2013,81672,"THE ORGANIZATION BECAME AWARE OF ANY EMPLOYEE EMBEZZLEMENT IN JANUARY, 2014 THAT OCCURED DURING THE PERIOD MARCH, 2013 THROUGH DECEMBER, 2013. THE AMOUNT OF LOSS WAS APPROXIMATELY $50,000. THE EMPLOYEE WAS PROSECUTED AND WILL BE SENTENCED TO SERVE TIME IN PRISON."
OWOSSO COMMUNITY PLAYERS,PO BOX 606,OWOSSO,MI,2012,837390,THE ORGANIZATION IS INVESTIGATING TRANSACTIONS THAT APPEAR TO BE CREDIT CARD FRAUD.
PAY IT FORWARD OUTREACH INC,90 S SEAWAY DRIVE,MUSKEGON HEIGHTS,MI,2011,99016,NOTIBLE EMBEZZLEMENT OF OVER 3000 PARTIALLY COVERED BY INSURANCE
SAGINAW WESTCHESTER VILLAGE INC,3200 DALE RD 101,SAGINAW,MI,2013,2183597,"$18,134 OF UNDOCUMENTED CREDIT CARD CHARGES WERE DETERMINED TO BE PERSONAL USE OF AN EMPLOYEE. THE PERSONAL CHARGES WERE RECORDED AS AN OPERATING EXPENSE OF THE ORGANIZATION. THE PERSONAL ITEMS ALSO WERE NOT INCLUDED AS TAXABLE INCOME TO THE EMPLOYEE. PAYMENT OF CREDIT CARD INVOICES WAS ACCOMPLISHED BY MEANS OF A WIRE TRANSFER BY THE EMPLOYEE, THEREBY RESULTING IN A CIRCUMVENTION OF THE INTERNAL CONTROL PROCESS. AN ADJUSTMENT WAS RECORDED TO REDUCE EXPENSES BY THIS AMOUNT AND RECORD A RECEIVEABLE FROM THE EMPLOYEE."
SCHOOLCRAFT MEMORIAL HOSPITAL,500 MAIN STREET,MANISTIQUE,MI,2012,23236051,"HE ORGANIZATION BECAME AWARE OF A THEFT COMPRIMISING OF UNAUTHORIZED USE OF A COMPANY CREDIT CARD BY THE DIRECTOR OF WOODLAND MEADOWS ASSISTED LIVING FACILITY IN THE AMOUNT OF $82,000. THE CASE WAS BROUGHT TO COURT AND THE EMPLOYEE WAS FOUND GUILTY OF EMBEZZLEMENT."
THE AMERICAN LEGION JOE LOUIS POST 375,19486 SHERWOOD STREET,DETROIT,MI,2012,15834,NONE
THREE RIVERS AREA CHAMBER OF COMMERCE,57 NORTH MAIN STREET,THREE RIVERS,MI,2013,178231,"A CHAMBER EMPLOYEE WAS FOUND TO BE HAVE EMBEZZLED $15,770 FROM THE CHAMBER DURING THE YEARS OF EMPLOYMENT. THE EMPLOYEE WAS IMMEDIATELY FIRED AND IS CURRENTLY AWAITING A COURT HEARING. THE CHAMBER RECEIVED INSURANCE PROCEEDS OF $15,000, AND IS AWAITING RESTITUTION FROM THE EMPLOYEE. PLEASE SEE ATTACHMENT."
TRINITY HEALTH CORPORATION,27870 CABOT DRIVE,NOVI,MI,2010,814477846,"AN EMPLOYEE OF TRINITY INFORMATION SYSTEMS (TIS, A DIVISION OF TRINITY HEALTH CORPORATION) DIVERTED AND RESOLD TO THIRD PARTIES COMPUTER EQUIPMENT THAT WAS PURCHASED BY TRINITY HEALTH CORPORATION TO BE LOCATED AT AND USED BY MERCY HEALTH PARTNERS (MHP). MHP IS A SUBSIDIARY OF TRINITY HEALTH CORPORATION. THE VALUE OF THE EQUIPMENT WAS $890,000. TRINITY HEALTH CORPORATION TERMINATED THE EMPLOYEE IN NOVEMBER 2010. THE RESULTS OF TRINITY HEALTH CORPORATION'S INVESTIGATION WERE REFERRED TO LAW ENFORCEMENT OFFICIALS. THE FILING OF CRIMINAL CHARGES IS PENDING. TIS CONDUCTED A KAIZEN PROCESS IMPROVEMENT ACTIVITY DURING FISCAL YEAR 2011. TO PREVENT ANOTHER OCCURRENCE, TIS HAS INITIATED NEW PROCEDURES FOR SEGREGATION OF REQUESTOR AND RECEIVER ROLES ON RECEIVING DOCKS. TIS ALSO STRENGTHENED INTERNAL CONTROLS OVER THE REVIEW AND APPROVAL OF NON-STANDARD EQUIPMENT PURCHASES. THE RE-DESIGNED PROCESSES WERE IMPLEMENTED FOR ALL TIS PURCHASES AT SUBSIDIARY ORGANIZATIONS IN MAY 2011."
VALLEY STATE EMPLOYEES CREDIT UNION,2686 MCLEOD DRIVE,SAGINAW,MI,2016,864993,"DURING 2016 THE STATE OF MICHIGAN, DEPARTMENT OF INSURANCE AND FINANCIAL SERVICES IDENTIFIED A SERIES OF ACCOUNTING TRANSACTIONS MADE USING THE FORMER CEO'S TELLER ID THAT LACKED ECONOMIC SUBSTANCE. NCUA ENGAGED A FORENSIC ACCOUNTING FIRM TO EVALUATE AND QUANTIFY THESE TRANSACTIONS. AT THIS TIME IT IS NOT POSSIBLE TO QUANTIFY THESE TRANSACTIONS AS THE INVESTIGATION IS IN PROCESS. WE ALSO CANNOT CONCLUDE IF THESE TRANSACTIONS WERE OR WERE NOT FOR A VALID BUSINESS PURPOSE."
YELLOW PAGES INTEGRATED MEDIA ASSOCIATION,920 KIRTS BOULEVARD NO 100,TROY,MI,2015,8073833,"DURING 2015, A NON-MANAGEMENT LEVEL EMPLOYEE OF A VENDOR OF THE SOCIETY WAS TERMINATED AFTER AN INTERNAL INVESTIGATION REVEALED THAT, OVER THE COURSE OF SEVERAL YEARS, THE INDIVIDUAL, WHO ACTED ALONE, UTILITZED RESOURCES OF THE ORGANIZATION FOR PERSONAL USE. THE AMOUNT DIVERTED WAS APPROXIMATELY $796,902, ALL OF WHICH HAS BEEN RECOVERED. THE ORGANIZATION AND THE VENDOR HAVE REVISED THEIR PROCEDURES TO PREVENT FUTURE OCCURRENCES OF THIS NATURE."
CUSTOMIZED OPTIONS NONPROFIT,7840 RIMBLEY ROAD,WOODBURY,MN,2012,721353,DURING THE YEAR THE THEFT OF ORGANIZATION FUNDS BY A FORMER EMPLOYEE WAS DISCOVERED.
DAYLIGHT CENTER AND SCHOOL INC,PO 40533,ST PAUL,MN,2015,208618,"DIVERSION OF ASSETS:THERE WAS AN UNAUTHORIZED AND FRAUDULENT WITHDRAWAL FROM THEWELLS FARGO CHECKING ACCOUNT IN THE AMOUNT OF $25,000.DAYLIGHT NOTIFIED WELLS FARGO OF THEIR ERROR (UNAUTHORIZEDWITHDRAWAL) AND THE FUNDS WERE RECOVERED WITHIN A FEW DAYS."
FIREMEN'S RELIEF ASSOCIATIONS OF MINNESOTA,2633 15TH STREET NW,BUFFALO,MN,2010,170001,THE ORGANIZATION CAUGHT A THEFT DURING THE YEAR AND THE PROPER ACTION HAS BEEN TAKEN TO CORRECT IT.
FIRST STEP INC,1112 LAKE AVE NW,WILLMAR,MN,2010,394365,
FIRST STEP INC,322 TERRACE DRIVE SW,WILLMAR,MN,2011,304198,
FRATERNAL ORDER OF EAGLES AERIE 2368,PO BOX 401,THIEF RIVER FALLS,MN,2012,397755,"IN 2011, THE PREVIOUS GENERAL MANAGER WAS ARRESTED FOR THEFT OF EAGLES BAR RECEIPTS. HE WAS FIRED AND CONVICTED. RESTITUTION WAS AWARDED TO THE EAGLES CLUB AND HAS BEEN RECEIVING AMOUNTS MONTHLY."
FRATERNAL ORDER OF EAGLES AERIE 2368,PO BOX 401,THIEF RIVER FALLS,MN,2013,469044,"IN 2011, THE PREVIOUS GENERAL MANAGER WAS ARRESTED FOR THEFT OF EAGLES BAR RECEIPTS. HE WAS FIRED AND CONVICTED. RESTITUTION WAS AWARDED TO THE EAGLES CLUB AND HAS BEEN RECEIVING AMOUNTS MONTHLY."
FRIENDS OF THE INVER GLEN LIBRARY,8098 BLAINE AVE,INVER GROVE HEIGHTS,MN,2011,6349,NONE
HEALING HAITI,PO BOX 263,CHAMPLIN,MN,2015,2508658,"THE ORGANIZATION DISCOVERED THAT THERE WAS UNAPPROVED PAY INCREASES BEING PAID AS SALARIES. ONCE IDENTIFIED, THE ORGANIZATION REMOVED THE INDIVIDUAL INVOLVED AND RETAINED LEGAL COUNSEL TO SEEK OUT DAMAGES DUE TO THE ORGANIZATION FOR THESE UNAPPROVED PAY INCREASES. UNAPPROVED PAY INCREASES PAID AND REPORTED AS SALARIES TOTALED $54,282 DECEMBER 31, 2015."
HEALTH CARE COMPLIANCE ASSOCIATION,6500 BARRIE ROAD NO 250,MINNEAPOLIS,MN,2011,13559948,"THE ASSOCIATION HAD A MATERIAL DIVERSION OF ASSETS DURING 2011. THE ASSOCIATION HAD APPROXIMATELY $960,000 FROM THEIR BANK ACCOUNT FRAUDULENTLY TRANSFERRED TO AN OUTSIDE PARTY. THE ASSOCIATION UNDERWENT AN EXTENSIVE INVESTIGATION WHICH CONFIRMED THAT THE TRANSFER WAS PERPETRATED BY AN EXTERNAL PARTY AND THERE WAS NO INTERNAL COLLUSION BY THE ASSOCIATION'S STAFF RELATED TO THE TRANSFER. FOLLOWING THE DISCOVERY OF THE FRAUDULENT WIRE TRANSFER OF FUNDS TO AN OUTSIDE PARTY, THE ASSOCIATION MADE SIGNIFICANT CHANGES TO THE INFORMATION TECHNOLOGY PROCEDURES AND COMPUTER EQUIPMENT TO ATTEMPT TO PREVENT ANY ADDITIONAL INCIDENTS OF FRAUDULENT TRANSFERS. AN OUTSIDE CONSULTANT WAS ENGAGED TO HELP SET APPROPRIATE SECURITY POLICIES AND TO DEVELOP PROCEDURES TO ENSURE THAT APPROPRIATE SYSTEM SECURITY IS MAINTAINED AT ALL TIMES. SUBSEQUENT TO 2011, APPROXIMATELY $950,000 OF THE FUNDS WERE RETURNED TO THE ASSOCIATION WHICH REPRESENTS THE BALANCE LESS $6,400 OF THE FRAUDULENT TRANSFER."
LIONS INTERNATIONAL MONTICELLO 30761 MONTICELLO LIONS CLUB,PO BOX 673,MONTICELLO,MN,2010,60288,"THEFT LOSS OF GAMBLING FUNDS $12,502."
LITTLE BROTHERS - FRIENDS OF THE ELDERLY,1845 EAST LAKE STREET,MINNEAPOLIS,MN,2011,309473,"IN 1991 LBFE RECEIVED AS A CONTRIBUTION FROM A TRUST, LAND AND BUILIDNGS IN RAMSEY COUNTY, WHICH WERE TO BE USED FOR THE BENEFIT OF UNDER-PRIVILEGED AND LONELY, ELDERLY PERSONS IN THE ST. PAUL AND MINNEAPOLIS AREA. THE TRUST DOCUMENT PROVIDED THAT IF LBFE WAS UNABLE TO MAINTAIN THE PROPERTY THAT IT WOULD BE TRANSFERRED TO ANOTHER LOCAL NONPROFIT ORGANIZATION SPECIFIED IN THE TRUST. IN 2012 LBFE DECIDED THAT IT NO LONGER COULD SUSTAIN THE FINANCIAL BURDENS ASSOCIATED WITH THIS PROPERTY AND TRANSFERRED IT TO THE NAMED NONPROFIT ORGANIZATION ON OCTOBER 25, 2011. THE NET BOOK VALUE OF THE PROPERTY AND IMPROVEMENTS TRANSFERRED WAS 4231,926. LBFE ALSO RECEIVED 5,775 FOR MISCELLANEOUS EQUIPMENT TRANSFERRED THAT WAS NOT PART OF THE ORIGIANL BEQUEST."
MAPLE LAWN NURSING HOME INC,400 SEVENTH STREET NE,FULDA,MN,2015,4755906,"AN EMPLOYEE WRONGLY PURCHASED GIFT CARDS AND OTHER ITEMS THROUGH A VENDOR. APPROX. $150,000 WAS LOST. THE ORGANIZATION IMMEDIATELY TERMINATED THE EMPLOYEE AND SHE IS BEING PROSECUTED BY LOCAL LAW ENFORCEMENT. INSURANCE COVERED $50,000 OF THE LOSS. RESTITUTION WILL BE WORKED OUT WITH PROSECUTION. THE ORGANIZATION HAS CHANGED CRITICAL ACCOUNTING POLICY AND PROCEDURE AND INCREASED OVERSIGHT."
MINNESOTA CHAPTER OF THE AMERICAN PHYSICAL THERAPY ASSOCIATION,970 RAYMOND AVENUE,ST PAUL,MN,2013,373692,
MINNESOTA RECOVERY CONNECTION,822 S 3RD ST NO 101,MINNEAPOLIS,MN,2015,578767,"MRC EXPERIENCED THEFT BY A CONTRACTED PROFESSIONAL. WHEN THE THEFT WAS DISCOVERED IN THE ORDINARY COURSE OF BUSINESS, THE CONTRACT WAS CANCELLED IMMEDIATELY AND MRC FILED CHARGES WITH THE MINNEAPOLIS POLICE DEPARTMENT."
NORTH HENNEPIN COMMUNITY COLLEGE FOUNDATION,7411 85TH AVENUE NORTH,BROOKLYN PARK,MN,2015,621808,"SUBSEQUENT TO JUNE 30, 2016, THE FOUNDATION WAS MADE AWARE OF THE FACT THAT A CONTRACT BOOKKEEPER HAD BEEN STEALING MONEY FROM THE FOUNDATION AND FRAUDULENTLY REPORTING RESULTS OF OPERATIONS TO THE FOUNDATION'S BOARD OF DIRECTORS. THE PERIOD OF THIS THEFT AND FRAUDULENT REPORTING SPANNED FROM APRIL 2014 THROUGH SEPTEMBER 2017 FOR A TOTAL OF APPROXIMATELY $181,600. TOTAL LOSSES RELATED TO THE THEFT WERE $173,592 FOR THE YEAR ENDED JUNE 30, 2016, WHICH INCLUDES AN ACCRUED $60,978 OF THEFT LOSS THAT OCCURRED AFTER JUNE 30, 2016. THE FOUNDATION IS ACTIVELY PURSUING A NUMBER OF REMEDIES, INCLUDING LEGAL ACTION, TO RECUPERATE THE FUNDS STOLEN, HOWEVER AS OF FEBRUARY 9, 2017, NO FUNDS HAD BEEN RECEIVED OR AWARDED TO THE FOUNDATION."
ONE FAMILY HEALTH,527 MARQUETTE AVENUE NO 1660,MINNEAPOLIS,MN,2013,32749,"ASSETS THAT WERE APPROXIMATELY $25,000-$30,000 IN VALUE WERE MISAPPROPRIATED IN RWANDA IN 2013."
